pleiades_id,title,longitude,latitude,location_precision,feature_types,time_periods,sources,in_window_bins
383753,Quadrata,7.969391,45.191112,precise,station,"roman,late-antique",pleiades_transport,0.055
383755,Regium Lepidum,10.630721,44.698137,precise,"settlement, amphitheatre","roman,late-antique,twentieth-ce,twenty-first-ce",pleiades_settlement,0.055
383756,Retovium,8.592305,45.291593,precise,settlement,"roman,late-antique",pleiades_settlement,0.055
383758,Ricina,9.143844,44.361906,precise,"station, settlement-modern","late-antique,modern",pleiades_transport,0.0
383759,Rigomagus,8.297388,45.193171,precise,station,"roman,late-antique,twentieth-ce",pleiades_transport,0.055
383761,Rubra,9.960918,44.234849,precise,station,late-antique,pleiades_transport,0.0
383765,Saltus Berusetis,9.989987,44.510579,precise,villa,roman,pleiades_production,0.102
383766,Saltus Bitunia(e),9.633909,44.501886,precise,villa,roman,pleiades_production,0.102
383770,Savo/Vicus Virginis?,8.477232,44.311085,precise,"settlement, port","hellenistic-republican,roman,late-antique",pleiades_settlement;pleiades_transport,7.2
383773,Sebuinus Vicus,8.571296,45.774415,precise,settlement,"roman,late-antique",pleiades_settlement,0.055
383775,Segesta Tigulliorum,9.396776,44.273159,precise,settlement,"roman,late-antique,twentieth-ce",pleiades_settlement,0.055
383780,Sibrium,8.85905960289,45.7288210139,precise,"settlement, fort","roman,late-antique,mediaeval-byzantine",pleiades_settlement,0.055
383781,Sirmio,10.60805,45.492485,precise,settlement,"roman,late-antique,modern",pleiades_settlement,0.055
383791,Tannetum,10.455169,44.771748,precise,settlement,"roman,late-antique",pleiades_settlement,0.055
383795,Tegulata,9.343302,44.308919,precise,station,"roman,late-antique",pleiades_transport,0.055
383796,Tellegate,9.852833,45.629884,precise,station,"roman,late-antique",pleiades_transport,0.055
383797,Tetellus,10.080814,45.554987,precise,station,"roman,late-antique",pleiades_transport,0.055
383798,Ticinum,9.156562,45.185899,precise,settlement,"roman,late-antique,modern",pleiades_settlement,0.055
383803,Tres Tabernae,9.459543,45.264219,precise,station,"roman,late-antique",pleiades_transport,0.055
