bin_start_year,bin_end_year,port_id,name,longitude,latitude,foundation_year,start_uncertainty_halfwidth_years,active_probability
-675,-650,1127,"Tapsus, Thapsos ",15.228473,37.145257,-1200.0,100.0,1.0
-675,-650,1128,"Leon, landing place of Athenian fleet in 414 BC",15.2615,37.1076,-4000.0,100.0,1.0
-675,-650,1132,"Syracuse, ""Large Port"", on the isle of Sikelia, Sicania, Trinacria, major Greek (Corinthian) settlement in Sicily",15.288,37.06,-733.0,10.0,1.0
-675,-650,1138,Portus Naustathamus?,15.214525,36.95611,-750.0,60.0,1.0
-675,-650,1140,"Helorus, Elorus, on R Helorus",15.1075,36.8422,-750.0,60.0,1.0
-675,-650,1146,R Hirminum,14.594,36.771,-750.0,60.0,1.0
-675,-650,1152,"Gela, on R Gela",14.2583,37.063,-688.0,10.0,1.0
-675,-650,1154,,14.197,37.0842,-750.0,60.0,1.0
-675,-650,1155,"Port of Maktorion, Mactorium?",14.138661,37.100201,-750.0,60.0,1.0
-675,-650,1158,,13.881,37.102,-750.0,60.0,1.0
-675,-650,1160,,13.780019,37.144488,-750.0,60.0,1.0
-675,-650,1162.0999999999999,,13.624,37.233,-1400.0,100.0,1.0
-675,-650,1166,"Heraclea Minoa, on R Halycus",13.28,37.3937,-750.0,60.0,1.0
-675,-650,1167,,13.256671,37.414943,-750.0,60.0,1.0
-675,-650,1169,"Selinus, Selinunt, Selinonte east port",12.8294,37.5845,-650.0,30.0,0.2916666666666667
-675,-650,1170,"Selinus, Selinunt, Selinonte west port, on R Selinon",12.82116,37.5828,-650.0,30.0,0.2916666666666667
-675,-650,1172,"Lilybaion, Lilybee South port?",12.43,37.7937,-750.0,60.0,1.0
-675,-650,1173,"Lilybaion, Lilybee Main port",12.428115,37.808131,-750.0,60.0,1.0
-675,-650,1174,"Lilybaion, Lilybee North port?",12.443337,37.8124,-750.0,60.0,1.0
-675,-650,1176,"Motye, Motya",12.4646,37.8641,-750.0,60.0,1.0
-675,-650,1177,"Aigousa insula, anchorage of Roman fleet before the famous battle of the Egadi Islands (10 March 241 BC), Odysseus' port of the Cyclops? ",12.322489,37.934044,-750.0,60.0,1.0
-675,-650,1180,"Bucinna, Phorbantia insula",12.321625,38.00168,-10000.0,100.0,1.0
-675,-650,1187,,13.182596,38.71968,-1500.0,100.0,1.0
-675,-650,1189,"Panhormus, Panorme",13.368583,38.120398,-750.0,60.0,1.0
-675,-650,1190,"Solus, port of Solonte ",13.542862,38.081694,-750.0,60.0,1.0
-675,-650,1193,"Himera, Himere, on R Himeras",13.8215,37.9683,-729.0,10.0,1.0
-675,-650,1203,"Celsina, Phoenicusa, Phoinikoussa insula",14.5883,38.5569,-1500.0,100.0,1.0
-675,-650,1204,Didyma insula,14.8696,38.5739,-1500.0,100.0,1.0
-675,-650,1205,"Lipara on Liparos insula, Meligounis nesos",14.9568,38.4717,-1500.0,100.0,1.0
-675,-650,1207,"Aegina, Euonymus insula",15.0636,38.6256,-1500.0,100.0,1.0
-675,-650,1209,"Strongilos, Eolie, possibly Odysseus' stopover on the isle of Aeolos",15.244209,38.797457,-1500.0,100.0,1.0
